Speaker_2_001|Captain's Log, Stardate 41294.5.|Captain's Log, Stardate 41294.5.
Speaker_2_002|Our destination, the Class M Beta Cassius planet known simply as Haven.|Our destination, the Class M Beta Cassius planet known simply as Haven.
Speaker_2_003|It is a world so renowned for its peaceful beauty that some believe it to have mystical healing powers.|It is a world so renowned for its peaceful beauty that some believe it to have mystical healing powers.
Speaker_2_004|We will rest and relax.|We will rest and relax.
Speaker_2_005|All too briefly, I fear.|All too briefly, I fear.
Speaker_2_006|Such a beautiful world.|Such a beautiful world.
Speaker_2_007|Legends say it has been known to mend souls and heal broken hearts.|Legends say it has been known to mend souls and heal broken hearts.
Speaker_2_008|Legends like that are the spice of the universe, Mr.|Legends like that are the spice of the universe, Mr.
Speaker_2_009|Data, because they have a way of sometimes coming true.|Data, because they have a way of sometimes coming true.
Speaker_2_010|The surface station approval coming in now, Lieutenant.|The surface station approval coming in now, Lieutenant.
Speaker_2_011|Space, the final frontier.|Space, the final frontier.
Speaker_2_012|These are the voyages of the Starship Enterprise, its continuing mission to explore strange new worlds, to seek out new life and new civilizations, to boldly go where no one has gone before.|These are the voyages of the Starship Enterprise, its continuing mission to explore strange new worlds, to seek out new life and new civilizations, to boldly go where no one has gone before.
Speaker_2_013|Will you and your husband be staying with the ship, Counselor?|Will you and your husband be staying with the ship, Counselor?
Speaker_2_014|I'll just say congratulations for now, Diana.|I'll just say congratulations for now, Diana.
Speaker_2_015|You'll excuse me.|You'll excuse me.
Speaker_2_016|I'm Jean-Luc Picard, Captain of the Enterprise.|I'm Jean-Luc Picard, Captain of the Enterprise.
Speaker_2_017|Welcome aboard.|Welcome aboard.
Speaker_2_018|You can see your quarters now, if you like.|You can see your quarters now, if you like.
Speaker_2_019|Will you show the Millers to their accommodations, please?|Will you show the Millers to their accommodations, please?
Speaker_2_020|And I shall join you later.|And I shall join you later.
Speaker_2_021|Two more are ready to beam in, sir.|Two more are ready to beam in, sir.
Speaker_2_022|So be it.|So be it.
Speaker_2_023|Wyatt seems a fine young man.|Wyatt seems a fine young man.
Speaker_2_024|I don't understand.|I don't understand.
Speaker_2_025|Diana, shame.|Diana, shame.
Speaker_2_026|What has this life done to you?|What has this life done to you?
Speaker_2_027|Of course.|Of course.
Speaker_2_028|Your daughter has explained your telepathic abilities.|Your daughter has explained your telepathic abilities.
Speaker_2_029|No, no.|No, no.
Speaker_2_030|That's quite all right.|That's quite all right.
Speaker_2_031|I'm indebted to your mother for the fine counselor.|I'm indebted to your mother for the fine counselor.
Speaker_2_032|she...|she...
Speaker_2_033|Oh, please don't let me keep you from doing your duty.|Oh, please don't let me keep you from doing your duty.
Speaker_2_034|Passenger accommodations.|Passenger accommodations.
Speaker_2_035|Oh, I'm sure I find them perfectly pleasant.|Oh, I'm sure I find them perfectly pleasant.
Speaker_2_036|Very good.|Very good.
Speaker_2_037|We hope you find the room comfortable.|We hope you find the room comfortable.
Speaker_2_038|I'll see what I can do.|I'll see what I can do.
Speaker_2_039|And now, if you will excuse me, I'm sure the two of you have a lot to talk about.|And now, if you will excuse me, I'm sure the two of you have a lot to talk about.
Speaker_2_040|Greetings, Electorine.|Greetings, Electorine.
Speaker_2_041|I'm Picard.|I'm Picard.
Speaker_2_042|In what way?|In what way?
Speaker_2_043|Are you saying you believe it to be hostile?|Are you saying you believe it to be hostile?
Speaker_2_044|Agreed.|Agreed.
Speaker_2_045|Then let's hope it doesn't become a defense matter.|Then let's hope it doesn't become a defense matter.
Speaker_2_046|Captain's personal log.|Captain's personal log.
Speaker_2_047|I trust my concern over the problems of ship's counselor Troy are not based merely on losing a highly valuable crew member.|I trust my concern over the problems of ship's counselor Troy are not based merely on losing a highly valuable crew member.
Speaker_2_048|But it seems to me that she's trapped by a custom of her homeworld, which the facts of 24th century life have made unwise and unworkable.|But it seems to me that she's trapped by a custom of her homeworld, which the facts of 24th century life have made unwise and unworkable.
Speaker_2_049|I wish I could intervene.|I wish I could intervene.
Speaker_2_050|Sub-warp.|Sub-warp.
Speaker_2_051|It's several hours away, then.|It's several hours away, then.
Speaker_2_052|Let's take a look at it.|Let's take a look at it.
Speaker_2_053|Enlarge to maximum.|Enlarge to maximum.
Speaker_2_054|Mr.|Mr.
Speaker_2_055|Data, is that the trouble?|Data, is that the trouble?
Speaker_2_056|I believe it is?|I believe it is?
Speaker_2_057|Look out to sickbay.|Look out to sickbay.
Speaker_2_058|Dr.|Dr.
Speaker_2_059|Crusher to bridge, urgent.|Crusher to bridge, urgent.
Speaker_2_060|They must not be permitted to destroy us.|They must not be permitted to destroy us.
Speaker_2_061|Or the planet.|Or the planet.
Speaker_2_062|Captain's log, supplemental.|Captain's log, supplemental.
Speaker_2_063|It has been believed the Tyrellian race was extinct.|It has been believed the Tyrellian race was extinct.
Speaker_2_064|An assumption contradicted now by the sight of one of their vessels approaching Haven.|An assumption contradicted now by the sight of one of their vessels approaching Haven.
Speaker_2_065|Go on with your briefing, Mr.|Go on with your briefing, Mr.
Speaker_2_066|Data.|Data.
Speaker_2_067|There were hostilities?|There were hostilities?
Speaker_2_068|Can you identify the origin of the infection, Doctor?|Can you identify the origin of the infection, Doctor?
Speaker_2_069|And it was believed that the last Tarelian ship was destroyed eight years ago by the Alcians.|And it was believed that the last Tarelian ship was destroyed eight years ago by the Alcians.
Speaker_2_070|Exactly.|Exactly.
Speaker_2_071|When will they reach Haven?|When will they reach Haven?
Speaker_2_072|Which creates a very difficult problem for the Enterprise.|Which creates a very difficult problem for the Enterprise.
